name,country,state_or_region,continent,category,budget_level,climate,best_season,adventure,nightlife,family_friendly,trekking,beach_activities,cultural_sites,wildlife,shopping,popularity_score,safety_score,avg_cost_index,rating
Mumbai,India,Maharashtra,Asia,Urban,Mid-range,Tropical,Winter,0,1,1,0,1,1,0,1,98,75,45,4.5
Delhi,India,Delhi,Asia,Urban,Mid-range,Continental,Winter,0,1,1,0,0,1,0,1,99,65,40,4.4
Bangalore,India,Karnataka,Asia,Urban,Mid-range,Temperate,Year-round,0,1,1,0,0,1,0,1,95,85,50,4.6
Chennai,India,Tamil Nadu,Asia,Urban,Budget,Tropical,Winter,0,1,1,0,1,1,0,1,90,88,35,4.3
Kolkata,India,West Bengal,Asia,Urban,Budget,Tropical,Winter,0,1,1,0,0,1,0,1,92,82,30,4.5
Hyderabad,India,Telangana,Asia,Urban,Mid-range,Tropical,Winter,0,1,1,0,0,1,0,1,93,85,42,4.6
Ahmedabad,India,Gujarat,Asia,Urban,Budget,Desert,Winter,0,0,1,0,0,1,0,1,88,90,32,4.4
Pune,India,Maharashtra,Asia,Urban,Mid-range,Temperate,Winter,1,1,1,1,0,1,0,1,89,88,40,4.5
Jaipur,India,Rajasthan,Asia,Historical,Mid-range,Desert,Winter,1,1,1,0,0,1,0,1,97,85,45,4.8
Lucknow,India,Uttar Pradesh,Asia,Urban,Budget,Subtropical,Winter,0,0,1,0,0,1,0,1,85,82,28,4.4
Panaji,India,Goa,Asia,Beach,Mid-range,Tropical,Winter,1,1,1,0,1,1,0,1,95,85,55,4.7
Agra,India,Uttar Pradesh,Asia,Historical,Mid-range,Continental,Winter,0,0,1,0,0,1,0,1,99,70,40,4.7
Varanasi,India,Uttar Pradesh,Asia,Religious,Budget,Subtropical,Winter,0,0,1,0,0,1,0,1,96,75,20,4.8
Shimla,India,Himachal Pradesh,Asia,Mountain,Mid-range,Alpine,Summer,1,0,1,1,0,1,0,1,94,92,48,4.6
Manali,India,Himachal Pradesh,Asia,Mountain,Mid-range,Alpine,Summer,1,1,1,1,0,0,0,1,96,88,45,4.7
Srinagar,India,Jammu and Kashmir,Asia,Nature,Mid-range,Alpine,Summer,1,0,1,1,0,1,0,1,92,70,42,4.8
Leh,India,Ladakh,Asia,Adventure,Mid-range,Alpine,Summer,1,0,0,1,0,1,0,0,91,95,50,4.9
Gangtok,India,Sikkim,Asia,Mountain,Mid-range,Alpine,Spring,1,0,1,1,0,1,0,1,89,96,40,4.7
Shillong,India,Meghalaya,Asia,Nature,Budget,Temperate,Autumn,1,0,1,1,0,1,0,1,87,90,35,4.6
Itanagar,India,Arunachal Pradesh,Asia,Nature,Budget,Alpine,Spring,1,0,1,1,0,1,1,0,75,85,25,4.3
Guwahati,India,Assam,Asia,Urban,Budget,Tropical,Winter,0,0,1,0,0,1,1,1,86,80,30,4.2
Patna,India,Bihar,Asia,Urban,Budget,Subtropical,Winter,0,0,1,0,0,1,0,1,80,72,22,4.0
Raipur,India,Chhattisgarh,Asia,Urban,Budget,Tropical,Winter,0,0,1,0,0,1,1,1,78,82,25,4.1
Ranchi,India,Jharkhand,Asia,Nature,Budget,Temperate,Winter,1,0,1,1,0,0,1,1,79,78,28,4.2
Bhubaneswar,India,Odisha,Asia,Religious,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,85,88,30,4.5
Thiruvananthapuram,India,Kerala,Asia,Urban,Mid-range,Tropical,Winter,0,0,1,0,1,1,0,1,87,92,45,4.6
Bhopal,India,Madhya Pradesh,Asia,Urban,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,84,85,30,4.3
Dehradun,India,Uttarakhand,Asia,Mountain,Mid-range,Temperate,Spring,1,0,1,1,0,1,0,1,88,90,38,4.5
Chandigarh,India,Chandigarh,Asia,Urban,Mid-range,Continental,Spring,0,1,1,0,0,1,0,1,90,95,55,4.7
Imphal,India,Manipur,Asia,Nature,Budget,Temperate,Autumn,1,0,1,1,0,1,0,1,72,65,25,4.1
Aizawl,India,Mizoram,Asia,Mountain,Budget,Temperate,Autumn,1,0,1,1,0,0,0,1,70,90,25,4.2
Kohima,India,Nagaland,Asia,Mountain,Budget,Temperate,Winter,1,0,1,1,0,1,0,1,74,85,28,4.4
Agartala,India,Tripura,Asia,Urban,Budget,Tropical,Winter,0,0,1,0,0,1,0,1,70,88,22,4.0
Port Blair,India,Andaman and Nicobar,Asia,Island,Mid-range,Tropical,Winter,1,0,1,0,1,1,1,1,88,94,65,4.7
Kavaratti,India,Lakshadweep,Asia,Island,Budget,Tropical,Winter,1,0,1,0,1,0,1,0,80,96,40,4.6
Puducherry,India,Puducherry,Asia,Beach,Mid-range,Tropical,Winter,0,1,1,0,1,1,0,1,89,90,50,4.7
Daman,India,Dadra and Nagar Haveli,Asia,Beach,Budget,Tropical,Winter,0,1,1,0,1,1,0,1,78,85,35,4.2
Udaipur,India,Rajasthan,Asia,Historical,Luxury,Desert,Winter,0,1,1,0,0,1,0,1,96,92,75,4.9
Jodhpur,India,Rajasthan,Asia,Historical,Mid-range,Desert,Winter,0,1,1,0,0,1,0,1,93,88,48,4.7
Jaisalmer,India,Rajasthan,Asia,Historical,Mid-range,Desert,Winter,1,1,1,1,0,1,0,1,92,90,50,4.8
Pushkar,India,Rajasthan,Asia,Religious,Budget,Desert,Winter,0,1,0,0,0,1,0,1,88,85,25,4.5
Ranthambore,India,Rajasthan,Asia,Wildlife,Luxury,Desert,Winter,1,0,1,0,0,0,1,0,91,85,80,4.7
Mount Abu,India,Rajasthan,Asia,Mountain,Mid-range,Temperate,Summer,1,0,1,1,0,1,0,1,86,90,45,4.4
Amritsar,India,Punjab,Asia,Religious,Budget,Continental,Winter,0,0,1,0,0,1,0,1,97,90,30,4.9
